ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,reason,confidence
HONAUT.NS,2026-09-22,2026-09-22 18:52:09,35445.0,34025.0,-4.01,STOP_LOSS,50.0
ALKEM.NS,2026-09-22,2026-09-22 21:44:49,5466.5,5331.5,-2.47,STOP_LOSS,50.0
HONAUT.NS,2026-09-22,2026-09-22 21:44:49,35445.0,34025.0,-4.01,STOP_LOSS,50.0
ALKEM.NS,2026-09-22,2026-09-22 23:51:17,5466.5,5331.5,-2.47,STOP_LOSS,50.0
HONAUT.NS,2026-09-22,2026-09-22 23:51:17,35445.0,34025.0,-4.01,STOP_LOSS,50.0
WESTLIFE.NS,2026-09-15,2026-09-23 07:45:36,569.6,560.5999755859375,-1.58,STOP_LOSS,50.0
EXIDEIND.NS,2026-09-18,2026-09-23 07:45:36,435.85,425.3500061035156,-2.41,STOP_LOSS,50.0
FINEORG.NS,2026-09-16,2026-09-23 13:02:47,5193.0,5096.5,-1.86,STOP_LOSS,50.0
NOCIL.NS,2026-09-10,2026-09-24 06:45:46,195.31,189.35000610351562,-3.05,STOP_LOSS,0
PCBL.NS,2026-09-10,2026-09-24 06:45:46,334.8,342.6000061035156,2.33,STOP_LOSS,0
INDHOTEL.NS,2026-09-16,2026-09-24 06:45:46,715.0,733.6500244140625,2.61,STOP_LOSS,50.0
SHRIRAMFIN.NS,2026-09-16,2026-09-24 06:45:46,979.0,998.2000122070312,1.96,STOP_LOSS,50.0
HINDALCO.NS,2026-09-18,2026-09-24 06:45:46,986.5,983.7000122070312,-0.28,STOP_LOSS,50.0
POONAWALLA.NS,2026-09-18,2026-09-24 06:45:46,479.4,466.0,-2.8,STOP_LOSS,50.0
TATAINVEST.NS,2026-09-18,2026-09-24 06:45:46,702.35,663.5999755859375,-5.52,STOP_LOSS,50.0
ATGL.NS,2026-09-21,2026-09-24 06:45:46,660.7,618.9500122070312,-6.32,STOP_LOSS,50.0
CLEAN.NS,2026-09-21,2026-09-24 06:45:46,851.9,821.2000122070312,-3.6,STOP_LOSS,50.0
BAJAJHLDNG.NS,2026-09-22,2026-09-24 06:45:46,11185.0,11159.0,-0.23,STOP_LOSS,50.0
BANDHANBNK.NS,2026-09-22,2026-09-24 06:45:46,184.7,186.0800018310547,0.75,STOP_LOSS,50.0
WESTLIFE.NS,2026-09-23,2026-09-24 06:45:46,598.7,587.3499755859375,-1.9,STOP_LOSS,50.0
LICHSGFIN.NS,2026-09-15,2026-09-24 12:15:03,542.0,564.25,4.11,STOP_LOSS,50.0
GLENMARK.NS,2026-09-16,2026-09-24 12:15:03,2410.0,2430.39990234375,0.85,STOP_LOSS,50.0
JSWSTEEL.NS,2026-09-18,2026-09-24 12:15:03,1275.6,1273.199951171875,-0.19,STOP_LOSS,50.0
GENUSPOWER.NS,2026-09-18,2026-09-24 12:15:03,310.75,306.6000061035156,-1.34,STOP_LOSS,50.0
JSL.NS,2026-09-18,2026-09-24 12:15:03,750.95,738.9500122070312,-1.6,STOP_LOSS,50.0
GRINDWELL.NS,2026-09-22,2026-09-24 12:15:03,1966.8,1981.0,0.72,STOP_LOSS,50.0
PHOENIXLTD.NS,2026-09-23,2026-09-24 12:15:03,1993.2,1955.0,-1.92,STOP_LOSS,50.0
